year,Ash & Sludge,Construction Debris,Ferrous Metal,Food,Glass,Horticultural,Non-Ferrous Metal,Others,Paper/Cardboard,Plastics,Scrap Tyres,Textile/Leather,Used Slag,Wood
2003,0,398300,799000,32900,6200,119300,75800,0,466200,39100,6200,900,238500,40800
2004,0,471000,649900,31100,4900,127900,71800,11000,519900,74100,7200,5000,259600,73700
2005,0,465300,749100,36500,3800,101000,74700,8800,540500,86000,10800,4000,298900,90000
2006,0,604000,657400,44700,6400,87000,70700,15300,571400,77800,19400,4100,417000,81700
2007,0,759300,668000,51200,5800,91100,75600,14000,619000,75000,22000,6000,520000,127800
2008,0,900000,735000,68000,10000,96000,72000,8000,608600,61200,22100,11000,560500,190200
2009,0,1150700,806200,76700,15600,93500,47500,3200,574200,60300,18700,12600,418600,207400
2010,0,912400,1127500,102400,19200,99200,73100,3800,738200,78100,20000,14700,378900,190000
2011,0,1191100,1171600,69700,21400,89000,102800,3200,765000,77000,18300,17300,335900,176500
2012,0,1282700,1331200,85100,19500,108000,97300,4600,696700,82100,16100,18300,358000,236000
2013,14200,1683000,1369200,100000,14600,120900,114000,4800,679400,91100,19000,16300,344800,254600
2014,21700,1260000,1388900,101400,15700,163000,94700,4700,646500,80000,23100,16800,361200,293400
2015,25200,1402900,1333300,104100,14600,237200,160400,5700,603700,57800,32800,12500,365800,293700
2016,28300,1585700,1351500,111100,14700,209000,95900,7000,607100,59500,29700,10900,247000,411600
2017,28600,1599900,1371000,133000,12400,220700,92200,7100,568800,51800,33000,9600,269400,326800
2018,25000,1618000,126000,126000,12000,227000,170000,11000,586000,41000,29000,14000,179000,428000
2019,25000,1434000,1270000,136000,11000,293000,124000,15000,449000,37000,31000,6000,127000,289000
2020,16000,822000,930000,126000,7000,249000,73000,21000,432000,36000,22000,6000,104000,195000
2021,22000,1011000,1306000,154000,9000,277000,87000,18000,437000,58000,26000,7000,181000,234000
